building,fence,byciclist,tree,void,sky,sign,column_pole,pedestrian,car,sidewalk,road
35492,0,412,38523,18252,22949,3829,3256,503,3972,10088,35524
55320,0,222,8182,2023,18503,1802,1613,684,17230,955,66266
25551,561,34,14958,4701,46516,1160,2769,319,5651,16821,53759
50836,0,0,7051,485,22779,1061,1869,828,24380,2210,61301
58921,0,60,8120,1645,18702,1726,1615,722,10007,1769,69513
32759,0,44,0,54995,15372,1259,639,161,6909,3486,57176
45581,523,802,26587,5263,14573,2243,1272,8479,2059,16782,48636
59549,0,550,8480,1479,18682,1646,1590,655,14224,2083,63862
13852,192,0,47374,12638,24508,2784,3778,0,10391,12640,44643
63630,259,296,992,3400,19331,2543,1012,4671,10281,18134,48251
3547,0,0,31776,10245,46805,20837,3905,0,5227,986,49472
71272,3720,407,1094,9068,37468,2115,800,942,4629,5241,36044
1344,27,0,50288,11935,37363,347,798,0,3185,518,66995
1660,2261,0,30968,8214,53905,1386,461,0,5025,1997,66923
37213,0,32,0,51466,15394,998,458,173,2807,7789,56470
73236,86,49,0,598,16987,3394,882,1776,596,19573,55623
29227,0,0,42406,10270,36164,1396,1143,268,7680,5854,38392
10540,5963,0,12381,2465,58278,6603,3762,0,9555,8471,54782
1643,6566,0,45119,10224,34833,0,751,0,3311,2326,68027
46349,0,3421,8260,11236,31750,112,545,1833,41826,951,26517
55393,0,0,6710,1552,24291,1783,2452,1351,6195,4495,68578
38394,4415,0,15544,10762,28065,901,3959,3109,835,12351,54465
66116,620,1198,961,3667,18973,797,1897,2236,2269,10940,63126
9461,6906,0,11543,12378,57979,3823,4063,1511,7553,6063,51520
22721,0,192,41127,11145,36653,95,334,111,17803,13428,29191
22511,0,77,30040,16189,27999,5785,6483,1015,22965,7720,32016
20670,106,0,21524,4484,31554,3999,3394,934,17732,824,67579
38442,15088,92,8908,2669,32598,399,656,528,1108,20222,52090
69064,0,1224,3983,8575,28591,1759,1333,118,24248,1792,32113
67714,0,144,9125,278,19999,1444,722,1047,1926,4636,65765
10232,0,0,43833,4273,32135,3239,1466,0,2135,4819,70668
41059,1930,290,25662,6918,17077,3258,894,2595,11201,6690,55226
22252,191,0,19444,5896,32288,4111,5244,607,13798,1688,67281
52018,101,452,10245,2229,27312,888,2171,608,3350,20910,52516
49880,5499,46,20118,7791,12495,1294,1493,1140,271,10409,62364
108310,0,0,0,1021,772,0,1408,0,0,15101,46188
35301,14018,100,13463,3275,32476,703,894,1464,1833,19712,49561
17984,0,873,61765,10172,29439,1334,1287,2673,3162,8396,35715
75651,0,499,4061,8735,29282,1809,1459,980,5932,5252,39140
50339,247,497,23968,6664,12710,1563,537,3996,508,13980,57791
36671,24150,63,16165,1388,25642,561,724,1360,9508,6922,49646
8942,5569,30,26085,3687,45874,2052,3113,49,10637,14272,52490
53127,96,69,7536,8591,45740,1786,915,1342,14027,3777,35794
57509,0,784,8280,1883,18441,1540,1568,375,6843,2156,73421
498,3866,61,60666,4593,36206,287,707,0,1421,1043,63452
52697,0,90,5699,11857,27571,2378,1527,1570,31989,15597,21825
64748,958,951,0,881,19774,9403,3520,790,2284,15983,53508
17381,8173,0,12872,7958,56319,307,1006,815,912,10658,56399
55379,0,0,5333,12405,18346,3659,2668,2112,3872,11773,57253
70754,0,1317,3947,9355,28430,1777,1241,98,17550,2471,35860
11549,1703,101,26531,10077,32158,3499,2930,172,1745,8091,74244
37310,0,0,14964,784,30521,133,119,712,25902,867,61488
37101,22529,0,10835,1662,32670,959,1388,2558,8429,9507,45162
35835,0,0,6019,12061,40149,1623,1521,4208,7256,15997,48131
49083,683,131,14146,10220,35320,2831,1249,4181,15337,6093,33526
25887,800,0,13613,5185,44569,2128,3253,385,9578,10656,56746
777,2278,0,51279,7180,41636,430,381,32,1501,699,66607
39728,173,94,20383,11128,40551,1312,1005,3286,18458,6961,29721
31497,5472,0,25376,8774,38100,812,390,0,22672,4206,35501
32608,0,254,9929,7179,45208,1447,2342,136,2049,7223,64425
52527,0,381,7053,371,24017,1372,1415,184,23821,1386,60273
56706,0,1237,6848,1165,24001,1720,1799,541,4407,4400,69976
59089,1901,163,7793,14119,18957,536,1179,1754,556,12618,54135
49953,0,226,0,29689,13696,1104,330,4967,459,10782,61594
58617,0,0,9122,2059,19030,1771,1781,704,4592,2718,72406
73775,0,650,1810,7651,34695,3109,329,856,6873,7351,35701
29620,7592,1664,31606,6049,14431,996,290,600,15950,9148,54854
67990,0,0,0,2851,16229,1767,906,95,27026,1089,54847
3464,950,0,35360,4212,47697,559,1348,25,51,2703,76431
79267,0,0,5914,6137,11391,375,2023,2570,1137,12123,51863
11170,0,0,50756,2532,21437,49,31,229,24061,0,62535
30196,1121,0,13554,4970,40028,2721,3611,106,5970,11638,58885
39196,8003,40,4226,1660,41673,218,1502,109,360,9941,65872
61685,3785,123,3899,3532,17522,930,1527,2159,1159,19614,56865
24784,584,48,15545,4847,47941,1131,2554,378,4191,17157,53640
37815,0,448,11388,6524,38526,2998,2041,231,1501,10302,61026
64732,0,0,0,3463,13971,2836,535,108,31585,1642,53928
35099,17947,56,22004,1028,25913,650,465,783,11576,5394,51885
58150,0,0,9251,1311,18597,1802,1789,243,15010,1950,64697
30325,127,0,19123,6463,31604,1448,3375,400,10103,4206,65626
78358,87,0,0,965,17517,1385,448,693,6226,20297,46824
40875,2056,1477,26395,3035,18540,211,482,1459,16137,14842,47291
52870,0,3113,6723,1419,24194,1809,1949,1038,15358,2029,62298
30990,0,101,36840,21340,27820,2837,3818,262,10554,4591,33647
25853,610,29,14747,5450,45748,1401,2478,320,7612,12999,55553
35718,4250,0,26502,10895,46080,356,819,515,2513,7850,37302
17810,0,2247,5438,28401,41657,1551,2047,0,1211,16434,56004
64454,1230,116,5946,6176,18910,292,2670,2671,363,13316,56656
51790,0,1585,0,25360,14861,1434,296,143,26006,2438,48887
6030,3565,854,37283,9218,35906,3940,4410,325,2019,8806,60444
193,0,0,27738,10204,54657,819,1490,0,2512,5423,69764
2584,0,0,32382,21570,33950,16513,2787,0,6159,0,56855
71439,0,0,4046,6695,28801,1642,1136,0,25976,3365,29700
25377,0,423,15347,673,30741,1871,1858,2282,35710,1045,57473
24222,1176,42,11097,3447,48783,1745,2550,257,2043,17319,60119
75419,0,0,3201,6675,28394,1612,1516,0,26568,4572,24843
15518,10608,886,6954,13849,55910,28,791,51,2625,10960,54620
66522,3192,47,0,1374,18921,2195,1282,5457,600,13820,59390
39833,6863,1757,30966,4769,14424,1430,394,708,1686,14083,55887
63556,0,363,0,17673,14862,1078,163,0,19522,5019,50564
21921,10197,0,4192,4002,55472,321,1610,1085,4059,5838,64103
17196,0,0,23159,5099,53935,976,1177,0,765,3602,66891
65827,3638,153,7134,8910,38650,2051,338,268,3552,7791,34488
50200,0,97,5439,692,33033,1465,2927,2159,3753,3879,69156
15414,0,0,17003,2944,57784,345,1742,0,1525,4997,71046
11610,0,0,57119,3328,15964,49,22,506,21352,0,62850
21765,0,2817,42004,12985,39342,351,847,1949,8286,2272,40182
33438,6093,43,23079,2072,29554,1119,992,1429,9849,6026,59106
68277,0,2458,2776,10805,29351,1117,968,202,14317,5793,36736
26688,0,130,32057,17187,22811,13044,5763,2096,7388,15295,30341
24525,65,0,20105,6990,32769,2626,3686,515,13330,3457,64732
55201,0,0,7151,920,24208,1676,2046,637,7494,3861,69606
63911,0,660,0,17473,14670,815,206,2126,456,12869,59614
53670,0,666,6991,639,24122,3461,2812,1019,11999,1853,65568
15136,10886,0,15908,4246,55497,115,3141,0,1132,10646,56093
63699,0,92,5186,12274,27449,1351,972,3168,25487,14373,18749
26831,0,0,13285,11336,33966,3441,4148,1071,37872,17605,23245
35986,0,30,0,34458,14186,682,358,166,40366,507,46061
50618,0,0,8317,8935,19498,1050,3534,3288,760,23238,53562
0,0,0,42519,6147,47585,73,2267,0,2364,13507,58338
31033,0,7452,33056,10402,40539,796,1303,174,9030,4260,34755
17357,8473,0,5857,3081,51828,666,1720,0,15332,4318,64168
45,148,0,49607,8617,41767,189,689,0,2628,3242,65868
10445,0,0,48888,2688,22628,51,48,132,23406,0,64514
11784,862,348,26907,5523,38887,2665,3522,415,20501,1106,60280
53397,0,0,7008,1385,24278,1808,2242,548,11875,3906,66353
14928,0,397,69341,13162,24869,1357,757,1469,2838,13994,29688
986,1488,0,44643,9686,42636,536,628,54,1785,811,69547
14700,0,263,59183,16712,32346,2592,705,692,2583,14134,28890
20287,8806,0,8515,5936,58051,22,1421,243,1110,11290,57119
33616,0,502,37716,18868,20543,2507,5641,904,5035,8696,38772
75904,0,3015,5061,8486,30592,2340,1635,1042,5875,5783,33067
47074,1865,749,8285,6469,28814,3157,1789,63,2429,8476,63630
12711,715,449,24166,4897,40847,1819,3287,203,25994,1053,56659
50921,0,1572,10582,9049,30181,491,792,4668,30299,2676,31569
71806,0,1195,2529,8632,34494,1907,449,785,10652,6754,33597
7145,0,0,37712,4571,41942,2535,1069,0,2308,11014,64504
65110,0,0,0,5784,14842,1106,535,295,27318,5140,52670
31437,0,322,13220,1342,30874,1601,1777,1378,26782,1758,62309
55903,0,1708,14850,8596,32768,1006,1235,1258,19442,2653,33381
56719,0,0,6417,825,24168,1951,2018,717,5524,4378,70083
0,16971,0,56024,2568,27782,0,734,0,4415,2608,61698
55214,0,0,7818,1869,18648,1753,1577,714,17224,1050,66933
73005,146,0,1061,1485,20003,1625,762,408,9732,11257,53316
5631,4356,1683,36966,8087,37294,4400,3797,347,2113,7999,60127
44720,7183,38,23320,7934,12621,2292,1113,315,237,11634,61393
5877,5567,91,35262,4325,35763,1488,2806,251,10192,16006,55172
8441,0,0,21223,2986,47798,58,21,1288,22924,0,68061
12720,4937,100,24602,5700,40871,257,2150,28,3697,14179,63559
71418,0,1587,4376,9200,27182,1739,1210,130,14359,3213,38386
103166,0,0,0,3159,3215,0,1415,0,0,12555,49290
58289,0,64,0,11148,14246,1525,853,3142,28423,4153,50957
32044,6526,1688,28959,5600,18765,427,1246,1445,10632,13981,51487
64251,1789,253,3165,12308,16294,736,1077,1069,437,12827,58594
36553,0,616,0,39255,13724,1754,392,10086,986,7513,61921
64360,0,0,0,6923,14625,1837,662,650,28379,5631,49733
16734,0,0,49287,5018,17734,95,300,489,24230,0,58913
25822,624,0,13650,5126,47087,1657,3133,0,8147,11229,56325
67348,1163,98,2436,3663,16012,1307,4939,3082,256,17525,54971
77410,33,30,0,903,17722,2158,614,2757,320,19737,51116
59006,0,56,9187,1838,19406,1932,1989,219,5401,2911,70855
30946,13175,167,10587,2770,37997,816,1393,179,6911,19661,48198
33122,7998,0,4481,2841,49841,907,1793,0,1621,11682,58514
70235,0,1850,2527,10117,30049,2710,621,277,9654,7469,37291
28043,0,151,36550,17063,32918,837,1671,3684,11559,11988,28336
70935,0,0,2839,10750,24811,6233,2346,2506,17183,13100,22097
65156,1516,88,2032,5056,14566,2047,2733,2880,1471,16139,59116
62761,0,0,0,1687,18591,928,1056,81,28514,174,59008
56806,0,126,8808,1457,18837,1687,1785,594,16384,1741,64575
45563,396,632,24574,6481,13260,1352,767,7921,801,14917,56136
71923,0,235,0,1344,21422,1430,969,2225,1282,10498,61472
31706,3561,0,22448,9753,26150,1411,1017,2793,1586,8678,63697
30793,4827,0,20607,13550,28069,1417,734,3051,1175,7817,60760
27012,0,98,28974,12952,30666,2470,3290,1922,25634,3697,36085
69230,1833,81,1615,3713,15692,994,2041,904,2199,14990,59508
111823,0,0,0,997,1222,0,1263,151,0,14856,42488
37483,8119,0,5418,1372,45908,264,2617,0,266,9168,62185
53741,0,1266,6879,1186,24595,1560,2035,158,20185,1524,59671
56076,0,2382,7157,1242,23385,1697,1877,1019,2057,4062,71846
11979,0,0,30980,2432,46764,6543,2185,0,2003,5857,64057
17944,0,1418,50277,10519,37442,1218,1432,1653,7466,6166,37265
8673,0,600,68466,17915,25389,473,648,1437,4771,12473,31955
62063,6113,485,335,3328,19973,1015,601,1050,16039,6764,55034
64207,9272,255,1572,7616,41519,3396,655,757,3403,5476,34672
59186,0,0,8638,8014,15525,2284,2190,220,4501,14294,57948
59219,0,353,8761,1406,18097,1545,1225,722,11073,1789,68610
101401,0,0,0,3849,6925,916,148,393,51,22450,36667
4380,263,0,27665,1447,41489,12638,4607,0,7909,1784,70618
53327,547,0,16532,1891,17561,969,1227,615,10766,14098,55267
8888,0,0,45882,5891,25106,21,9,6899,19255,0,60849
41888,2960,4461,19183,4793,16878,2186,2136,330,8554,10614,58817
