building,bicycle,fence,wall,sky,traffic light,terrain,traffic sign,person,pole,train,truck,vegetation,car,bus,sidewalk,void,rider,road,motorcycle
196282,0,32765,49902,11018,689,0,24705,20859,27056,0,0,557043,27788,0,208975,0,0,749965,0
408826,2502,0,0,81798,21158,2069,3352,4522,17830,0,0,321390,248690,0,16971,0,3886,819944,0
397244,0,8825,0,4217,0,0,8321,18312,8820,0,0,424475,66028,0,79801,0,0,773190,0
411296,7969,0,0,88878,2847,18992,1172,393,12153,0,0,294895,301167,0,53646,0,10390,670416,0
270907,190,0,0,37202,3410,184,995,20941,11494,0,0,416116,175080,155225,37505,0,406,843454,0
44871,0,164587,42659,5443,1527,0,0,0,26542,0,0,759588,61236,0,240249,0,0,600432,0
859431,24597,0,0,638,0,0,29690,68864,29016,0,0,0,0,0,0,0,13374,0,0
386135,0,19062,0,148179,6627,2170,52365,9328,46626,0,0,252385,79652,0,24054,0,0,878003,0
512370,1597,0,0,200375,0,0,334,32283,17283,0,0,360437,6819,0,444351,0,0,402795,0
505872,95349,0,0,7302,0,0,2149,60032,33015,0,936,229951,175420,0,62710,0,0,551450,6880
686037,18676,42143,0,173705,351,0,2770,11704,15643,0,0,106923,4310,0,208335,0,0,558502,0
133506,0,0,1949,176679,12580,13105,17297,41411,32363,0,0,351758,427944,0,13299,0,0,624073,0
174017,0,119784,0,31363,161,4324,18792,1365,58873,0,0,543452,23172,0,283468,0,0,710846,0
481892,0,4938,0,164544,1937,172,6540,0,13011,0,1966,54899,356968,0,2431,0,117372,405416,80270
358762,0,0,5302,20144,2327,14402,11059,1103,15764,0,0,338232,155303,0,156315,0,0,686414,0
612986,16293,1248,0,65223,1419,0,26800,843,13478,0,0,5687,287712,0,70278,0,0,754532,0
20967,2068,0,0,16936,161,236543,1533,6519,12421,0,0,771068,7441,0,0,0,4189,765855,0
279273,4654,61423,38173,29879,0,0,3231,3322,4041,0,0,303560,523726,0,0,0,0,611910,0
9719,0,192870,0,175774,0,346529,12691,0,22294,0,0,379301,339445,0,0,0,0,492509,0
616743,9166,766,0,9589,0,0,1165,50558,5797,0,0,187210,9068,0,281063,0,11185,533373,0
333242,0,9349,0,111562,490,551,5460,54849,20835,0,0,308374,24062,0,73543,0,0,635575,0
448586,53136,985,0,110523,785,1686,2792,19456,33963,0,0,148843,253891,0,93630,0,37399,663193,0
221491,11503,0,11321,151279,8234,19743,5295,1997,14690,7922,0,95072,57139,0,72045,0,17055,878963,0
731405,53888,25258,0,84839,0,0,894,0,1559,0,0,137860,177706,0,97810,0,41992,620292,0
88452,0,0,0,144053,214,40320,3742,5104,9679,0,0,703329,194436,0,11438,0,0,653821,0
752521,1954,2020,19865,55506,0,0,1283,0,11472,0,3311,67421,262360,0,72810,0,0,728634,0
616682,25097,0,260,119475,0,0,28778,321716,6851,0,0,39016,14612,0,201932,0,0,368276,0
227642,42135,0,5171,63697,117,0,2297,70213,54430,0,0,507082,2609,0,458400,0,933,390518,0
11870,0,0,11757,0,0,11011,0,431,0,0,0,769533,315754,0,13577,0,0,816411,0
477064,0,6003,0,77334,313,0,18778,566,29806,0,0,270656,93178,0,140904,0,0,683490,0
725482,4593,55386,0,54015,0,0,3485,35921,2817,0,0,6765,249840,0,206372,0,0,411472,0
521653,0,0,875,19434,0,0,16683,23661,5045,0,0,344776,187603,0,98012,0,0,743789,0
688853,73011,0,0,0,0,33790,35442,32291,19486,0,0,255112,87674,0,362980,0,38499,213490,0
34606,55915,0,0,23762,112,0,9029,2127,22285,0,0,116992,68097,0,177396,0,5852,692433,0
448784,0,0,4239,197728,20440,31189,5799,5371,44051,0,3106,226724,17131,0,15923,0,11653,863843,4704
253507,0,0,0,29343,0,3474,3032,181,12464,0,0,277372,337145,0,0,0,0,741148,0
328506,6124,0,0,186743,575,644,8732,14203,11890,0,6225,283695,52639,0,63228,0,6509,890423,0
441698,18301,17077,0,102045,655,0,23258,85555,47909,0,0,173131,1788,0,246134,0,8047,604538,5794
606822,64193,0,0,19248,0,0,14340,78657,23953,0,0,20368,123873,0,181192,0,7485,691501,5142
96923,29831,0,4380,172207,31988,2878,6502,124520,65758,0,0,366161,73851,0,101189,0,10140,662314,0
387507,1133,0,0,41429,0,48836,1635,0,6677,0,0,174674,334509,0,15796,0,0,630252,0
523399,1628,45895,0,102918,1954,0,26582,124040,27405,0,0,119453,2840,0,168296,0,441,709340,0
209560,0,0,0,198951,8258,5893,5099,3209,20272,0,0,331641,191208,0,57116,0,0,822880,0
789090,347,0,0,65192,0,0,2337,6637,1360,0,0,38360,388302,0,18128,0,568,644368,2120
303802,0,0,7832,184035,13200,13557,9835,0,102130,0,0,217656,38342,0,204040,0,984,731619,444
568458,15423,0,0,95498,15491,141781,15968,52640,97913,0,0,150441,58998,0,150344,0,3364,605157,0
721526,0,0,0,102655,0,17599,484,31055,39709,0,0,159595,3917,0,48113,0,0,845564,0
11486,0,0,103098,74798,50,12577,0,0,9589,0,0,551644,206625,12273,21043,0,0,655368,0
406020,0,58755,37979,26252,6992,0,20766,0,39846,0,0,320999,55983,0,122809,0,0,702634,0
612524,0,80629,10222,138339,0,33590,7689,1362,18727,0,0,51476,28411,0,51450,0,0,732287,0
540888,9580,0,0,0,17566,0,16948,49523,108383,0,0,247158,8620,0,231227,0,4337,602672,0
454966,0,4688,0,5118,221,17921,1631,9593,1888,0,0,388140,302587,0,19480,0,0,749198,19119
592187,1045,0,626,23844,0,1874,7734,20495,16765,0,0,202268,143018,0,113943,0,0,815528,0
262634,0,0,16053,18677,17456,13752,22494,14703,45369,0,0,650377,205720,0,93582,0,0,589260,1165
368784,0,50862,50702,107769,564,0,457,5416,52769,0,0,239621,59886,0,141428,0,0,828664,0
9529,0,0,0,0,0,223158,10644,54397,12706,0,0,869645,6229,0,0,0,0,712134,0
626388,4270,20141,0,110459,3673,0,4652,459,4652,0,0,0,275523,0,96671,0,0,686776,6790
56142,0,9160,11111,17260,3466,166589,706,0,11122,0,0,616218,117146,0,18460,0,40066,504225,90574
855577,16048,0,0,16191,0,0,5730,9105,7779,0,0,3876,0,0,185472,0,5384,730322,0
260694,10479,0,0,108116,4454,2015,10614,0,36267,0,0,358515,118517,0,45176,0,4046,878554,1608
17439,0,98865,18867,65511,1644,3433,4198,0,15843,0,0,780533,75290,0,270028,0,0,587996,0
668034,0,0,0,71662,0,2319,442,0,2342,0,0,72695,483452,0,2642,0,0,674968,0
149702,0,2211,0,296225,70,117644,12827,0,17633,0,2079,368575,16072,0,32805,0,0,827624,0
891940,0,1554,1571,58365,0,0,1749,0,366,0,0,24970,22144,0,170315,0,0,775667,0
141831,0,0,176112,29571,0,3809,0,0,666,0,0,607690,276040,0,317033,0,0,425727,0
185163,0,32924,44585,35699,4531,0,5698,108568,48935,0,0,450757,0,0,89911,0,0,848615,0
246365,0,23182,145664,178200,2386,0,135042,0,10309,0,45127,156199,574960,0,0,0,0,430663,0
3552,2028,0,0,45495,0,76962,3502,554,16749,0,0,817881,34003,0,210202,0,0,753562,0
67980,0,0,0,105743,1305,8189,2947,3906,21590,97257,0,580518,238648,0,193944,0,296,533932,0
16734,0,33361,6097,64682,547,92846,8096,4980,6570,0,0,816331,188253,0,232486,0,0,510758,0
1092132,0,0,0,0,0,0,6236,2737,8786,0,0,27438,5760,0,321963,0,0,502679,0
73892,0,0,0,123650,0,281515,1466,335,1244,0,0,648404,37675,0,20766,0,0,704168,25936
693482,1720,0,0,31806,0,0,4782,20460,1860,0,0,75727,242158,0,61494,0,0,676522,0
551601,6427,0,0,14145,3292,2519,2089,3313,4663,0,0,435039,23936,0,65707,0,9181,849136,3212
125330,16258,0,0,25174,19269,42912,756,143671,52657,0,110426,437531,34710,0,197895,0,8764,633639,0
163474,0,0,0,206924,3530,0,31270,29394,13254,357627,0,145849,102882,0,0,0,0,919605,0
206082,4732,27635,0,38851,4071,90240,13584,2719,56491,0,0,471604,148601,0,105520,0,10131,753779,0
105518,0,2780,395,78177,7877,19813,13468,0,23851,0,0,708730,17285,0,225274,0,0,769445,0
321823,7111,0,0,42402,677,0,2831,51040,37054,0,0,310237,0,0,288755,0,1338,712692,10382
