building,bicycle,fence,wall,sky,traffic light,terrain,traffic sign,person,pole,train,truck,vegetation,car,bus,sidewalk,void,rider,road,motorcycle
126128,2011,3484,1079,112066,41,0,1020,13744,3364,0,0,327877,37218,27974,71184,31154,2678,210344,1434
256807,259,2267,108,178511,102,0,282,3047,10773,0,0,58197,74663,183,89636,25237,941,270942,845
108995,1283,7,0,24390,170,0,1898,44313,6641,0,0,263895,12084,155002,275481,20039,2288,54923,1391
276729,1125,556,1534,19388,65,0,79,30050,10024,0,0,58219,31117,10581,245123,17908,1326,268250,726
261091,666,0,0,0,0,0,0,50988,248816,0,0,340,1918,0,278733,25722,1008,103518,0
327809,58,310,0,53897,40,0,773,45993,15862,0,0,41691,63688,1109,154522,2667,1950,259611,2820
296396,6474,10102,0,151790,97,0,89,85946,5637,0,0,27008,38319,286,311863,1818,7953,29021,1
200507,2488,6588,0,0,208,0,175,24090,5301,0,0,88048,37734,2967,467325,12600,3111,120428,1230
230211,2411,5675,1031,149100,0,0,0,83038,4506,0,0,105723,8731,2562,327283,32871,1514,18030,114
309272,14270,819,0,112202,51,0,229,110124,6252,0,0,24716,16563,6760,335353,6732,21020,7771,666
477086,1808,2907,0,29569,0,0,136,11218,2576,0,0,105850,33402,0,163747,22216,2463,118060,1762
265957,571,0,22,139300,17,0,42,29968,4031,0,0,54583,5216,47910,403990,8310,1358,11255,270
395197,1489,20,0,7415,2158,0,1180,32829,8477,0,0,14448,446,156,161458,55750,3117,287572,1088
177520,2216,0,299,113370,0,0,152,58653,7593,0,0,156056,520,20276,332746,38306,1106,63979,8
135510,1590,2023,1373,150248,24,0,212,33222,10569,0,0,181061,17743,0,329186,45603,2722,61314,400
272838,3918,12,0,103520,0,0,145,9942,17605,0,0,139525,11393,3850,231180,7605,13568,150406,7293
334295,1723,30,0,117290,24,0,295,6916,17722,0,0,107728,19177,2160,249454,5488,7353,98068,5077
296860,1138,65,959,1,75,0,313,21037,5210,0,0,112627,7781,0,331044,30198,1178,164220,94
330027,99,404,0,54134,227,0,984,100387,4038,0,0,50782,9814,0,251888,3037,426,166495,58
203031,2285,14056,659,157365,1068,0,2127,24258,12158,0,0,90140,10576,10374,21761,190353,4576,228008,5
171500,1885,1928,7370,164299,0,0,7557,45002,55373,0,0,52661,88720,19138,84401,90332,1842,180597,195
288959,3312,12546,335,158502,0,0,135,34855,9622,0,0,12739,109906,2528,258387,4436,6795,65440,4303
123971,5391,747,0,136309,0,0,569,34747,1400,0,0,210122,31508,6443,95318,65228,11893,248349,805
242277,2231,0,0,69147,461,0,791,49931,11232,0,0,128794,3037,64,210151,38142,3218,211816,1508
412677,1772,8578,2509,25651,46,0,250,26785,12077,0,0,35585,36526,6994,186926,19381,2175,193952,916
136462,1235,148,2655,41444,20,0,567,27227,18548,0,0,128141,28166,9684,245563,30542,2559,298409,1430
96885,304,912,0,126643,0,0,109,42946,2701,0,0,302735,4561,2612,357241,20323,1409,11595,1824
598651,1023,855,0,11175,244,0,254,36804,8737,0,0,9824,1169,1109,124540,1415,2032,174949,19
647573,228,759,0,1584,34,0,163,19922,6107,0,0,23463,20858,1040,133585,6296,705,110483,0
295743,280,489,0,107315,40,0,255,106379,5571,0,0,60644,27030,920,262817,11793,1253,91636,635
199995,1718,131,469,1533,186,0,1538,43908,14229,0,0,92563,13669,6969,250221,23856,2781,317674,1360
239226,5903,147,0,64136,60,0,723,9048,5321,0,0,237455,713,16616,52061,22722,11996,300149,6524
349255,900,0,0,129076,0,0,0,43873,10010,0,0,77257,35,656,327234,33503,992,8,1
175068,757,2175,0,1707,0,0,909,26309,2761,0,0,124716,1831,2914,157013,61805,1036,413511,288
483196,290,3552,0,51373,2045,0,2321,42055,1497,0,0,9455,149049,0,129491,4661,607,93129,79
181102,2528,1606,2618,155023,609,0,1853,84778,16125,0,0,96538,41404,3322,316035,45865,11588,10840,966
139780,253,2467,3125,256407,414,0,191,56673,15092,0,0,83347,13060,15291,194147,28730,902,162909,12
